Sc_code,Sc_name,Sc_group,Sc_type,Open,High,Low,Close,Last Trd Price,Prev close,Previous close Date,no_trades,No of Shares,Turnover,Wt. Avg. Price,2W Avg. Qty,perc_del_qty,date,Total No of Shrs,Free Float No of Shrs,52 W High,52 W Low,FACE_VALUE,Exdate,Purpose,Industry,
532776,SHIVAMAUTO,B ,Q,30.80,31.29,30.60,30.91,30.91,30.67,6/24/2025 00:00:00,226,10876,337141.00,31.00,9242,70.37,6/25/2025 00:00:00,131495219,30241533.456058,64.86,23.62,2.00,,,Automobile and Auto Components,
532777,NAUKRI,A ,Q,1524.95,1533.75,1503.80,1509.10,1509.10,1506.15,6/24/2025 00:00:00,2058,19098,29050411.00,1521.12,19022,41.18,6/25/2025 00:00:00,647920600,387107289.596600,9194.95,1312.30,2.00,,,Consumer Services,
532779,TORNTPOWER,A ,Q,1445.10,1480.70,1445.10,1462.10,1462.10,1451.50,6/24/2025 00:00:00,2751,49421,72455315.00,1466.08,30806,43.87,6/25/2025 00:00:00,503903543,189735304.949333,2037.35,1207.20,10.00,,,Power,
532780,PARSVNATH,B ,Q,19.35,19.73,18.07,18.39,18.39,19.15,6/24/2025 00:00:00,682,226729,4221357.00,18.62,582365,36.00,6/25/2025 00:00:00,435181170,207254597.031330,25.88,11.21,5.00,,,Realty,
532782,SUTLEJTEX,T ,Q,39.15,39.31,39.15,39.31,39.31,39.10,6/24/2025 00:00:00,13,2733,107253.00,39.24,1904,100.00,6/25/2025 00:00:00,163828620,43514192.100960,78.59,32.23,1.00,,,Textiles,
532783,LTFOODS,A ,Q,441.05,451.00,432.15,448.70,448.70,442.50,6/24/2025 00:00:00,3236,119376,52657525.00,441.11,136553,30.13,6/25/2025 00:00:00,347252944,137078794.149888,484.75,245.05,1.00,,,Fast Moving Consumer Goods,
532784,SOBHA,A ,Q,1504.00,1527.80,1500.00,1524.70,1524.70,1503.25,6/24/2025 00:00:00,343,4283,6478182.00,1512.53,13713,49.17,6/25/2025 00:00:00,106924278,44397740.256828,2146.90,1075.70,10.00,,,Realty,
532785,RUCHIRA,B ,Q,139.85,141.70,138.70,139.55,139.55,138.50,6/24/2025 00:00:00,200,6355,889571.00,139.98,5417,63.29,6/25/2025 00:00:00,29844985,9309964.000840,152.35,107.00,10.00,,,Forest Materials,
532790,TANLA,A ,Q,654.60,657.20,648.05,653.15,653.15,652.55,6/24/2025 00:00:00,1779,41567,27136679.00,652.84,241725,43.73,6/25/2025 00:00:00,134617359,69576578.147073,1086.05,409.40,1.00,,,Information Technology,
532794,ZEEMEDIA,B ,Q,14.83,15.74,14.66,14.85,14.85,14.86,6/24/2025 00:00:00,2885,1188061,18026472.00,15.17,1386947,33.43,6/25/2025 00:00:00,625428680,459611275.786320,26.29,10.60,1.00,,,"Media, Entertainment & Publication",
532795,SITINET,Z ,Q,0.49,0.50,0.49,0.49,0.49,0.49,6/24/2025 00:00:00,144,428799,212795.00,0.50,158192,100.00,6/25/2025 00:00:00,872053054,818830784.061326,1.14,0.49,1.00,,,"Media, Entertainment & Publication",
532796,LUMAXTECH,B ,Q,1145.65,1165.05,1105.00,1115.05,1115.05,1128.25,6/24/2025 00:00:00,1613,19510,21914932.00,1123.27,25983,48.34,6/25/2025 00:00:00,68157705,29985777.841635,1165.05,452.55,2.00,,,Automobile and Auto Components,
532797,AUTOIND,B ,Q,79.98,87.48,79.50,80.20,80.20,79.37,6/24/2025 00:00:00,1313,22350,1839266.00,82.29,12840,59.01,6/25/2025 00:00:00,43175401,27164019.416155,156.75,65.02,10.00,,,Automobile and Auto Components,
532798,NETWORK18,A ,Q,53.90,63.44,53.74,61.72,61.72,53.72,6/24/2025 00:00:00,31827,13928230,852369655.00,61.20,1643795,34.76,6/25/2025 00:00:00,1542000018,664669855.758792,106.01,39.55,5.00,,,"Media, Entertainment & Publication",
532799,HUBTOWN,B ,Q,208.95,229.00,207.15,221.30,221.30,208.20,6/24/2025 00:00:00,3935,103695,22828576.00,220.15,110325,38.95,6/25/2025 00:00:00,135600657,41914569.880671,342.15,149.90,10.00,,,Realty,
532801,CTE,T ,Q,45.99,45.99,45.99,45.99,45.99,46.02,6/24/2025 00:00:00,1,1,45.00,45.00,1099,100.00,6/25/2025 00:00:00,19631015,9243871.974215,147.30,34.25,10.00,,,Information Technology,
532804,TIIL,B ,Q,3080.00,3121.05,3079.95,3086.85,3086.85,3049.20,6/24/2025 00:00:00,236,835,2583781.00,3094.35,1016,68.50,6/25/2025 00:00:00,22672798,5323754.352784,3939.00,2070.00,10.00,,,Capital Goods,
532805,REDINGTON,A ,Q,296.35,308.95,296.35,306.80,306.80,299.45,6/24/2025 00:00:00,3281,162840,49708258.00,305.26,187312,53.44,6/25/2025 00:00:00,781774431,592000251.423612,309.90,159.10,2.00,,,Services,
532806,AICHAMP,X ,Q,44.10,44.93,42.62,44.83,44.83,45.15,6/24/2025 00:00:00,9,296,13203.00,44.60,488,99.66,6/25/2025 00:00:00,30753831,12640408.863789,76.83,37.20,5.00,,,Forest Materials,
532807,CINELINE,B ,Q,92.99,92.99,90.15,91.33,91.33,90.27,6/24/2025 00:00:00,67,1613,145911.00,90.46,3278,88.28,6/25/2025 00:00:00,34266434,10364705.357716,149.95,75.81,5.00,,,"Media, Entertainment & Publication",
532808,PGIL,B ,Q,1494.95,1525.90,1464.45,1485.75,1485.75,1458.35,6/24/2025 00:00:00,431,3000,4476209.00,1492.07,7289,41.63,6/25/2025 00:00:00,45949817,16543772.112680,1718.05,700.45,5.00,,,Textiles,
532809,FSL,A ,Q,383.20,403.80,383.20,388.85,388.85,386.05,6/24/2025 00:00:00,3097,112037,44380320.00,396.12,64715,33.70,6/25/2025 00:00:00,696990826,315131856.141032,422.80,204.75,10.00,,,Services,
532810,PFC,A ,Q,416.05,417.95,410.35,412.90,412.90,413.70,6/24/2025 00:00:00,3398,223282,92132744.00,412.63,412508,71.30,6/25/2025 00:00:00,3300101760,1452024973.789440,580.35,357.25,10.00,,,Financial Services,
532811,AHLUCONT,A ,Q,965.00,965.00,938.05,947.20,947.20,949.65,6/24/2025 00:00:00,540,3768,3582034.00,950.65,4582,57.78,6/25/2025 00:00:00,66987560,29904586.535200,1540.00,620.65,2.00,,,Construction,
532812,TFL,T ,Q,17.10,17.10,16.31,16.31,16.31,17.10,6/24/2025 00:00:00,3,65,1063.00,16.35,2855,100.00,6/25/2025 00:00:00,53974537,18344163.966579,40.60,11.63,10.00,,,Financial Services,
532814,INDIANB,A ,Q,624.05,630.20,618.90,620.85,620.85,623.30,6/24/2025 00:00:00,1515,41039,25571023.00,623.09,87411,51.24,6/25/2025 00:00:00,1346963981,352403492.421068,658.50,474.05,10.00,,,Financial Services,
532815,SMSPHARMA,B ,Q,235.45,239.50,235.45,239.05,239.05,233.65,6/24/2025 00:00:00,246,11975,2847265.00,237.77,8587,97.08,6/25/2025 00:00:00,88652030,29248698.301810,398.00,175.00,1.00,,,Healthcare,
532817,ORIENTALTL,T ,Q,13.40,13.40,13.40,13.40,13.40,14.10,6/24/2025 00:00:00,154,24196,324226.00,13.40,572489,100.00,6/25/2025 00:00:00,73507265,53486752.797335,19.38,8.50,10.00,,,Consumer Durables,
532820,ELAND,XT,Q,26.54,26.54,26.54,26.54,26.54,26.02,6/24/2025 00:00:00,21,9514,252501.00,26.54,21840,100.00,6/25/2025 00:00:00,47990469,16392296.458206,26.54,8.00,10.00,,,Textiles,
532822,IDEA,A ,Q,6.87,7.27,6.80,7.13,7.13,6.87,6/24/2025 00:00:00,68242,139943889,994800638.00,7.11,57621669,46.02,6/25/2025 00:00:00,108343035001,27532998798.734128,19.15,6.30,10.00,,,Telecommunication,
532825,JAGJANANI,X ,Q,8.24,8.38,7.82,8.27,8.27,8.20,6/24/2025 00:00:00,47,21501,174046.00,8.09,17106,94.07,6/25/2025 00:00:00,15600000,11768920.800000,18.87,7.00,10.00,,,Textiles,
532827,PAGEIND,A ,Q,46344.95,49045.00,46307.95,48341.85,48341.85,46286.15,6/24/2025 00:00:00,769,1181,56398594.00,47754.95,471,52.50,6/25/2025 00:00:00,11153874,6287104.157580,49933.15,38320.00,10.00,,,Textiles,
532828,AMDIND,B ,Q,51.99,51.99,51.03,51.80,51.80,48.97,6/24/2025 00:00:00,3,453,23425.00,51.71,897,99.78,6/25/2025 00:00:00,19166749,6360773.156885,87.55,39.00,10.00,,,Capital Goods,
532829,LEHAR,X ,Q,250.00,254.10,247.95,249.50,249.50,249.65,6/24/2025 00:00:00,169,15894,3983114.00,250.60,10470,78.40,6/25/2025 00:00:00,17678799,4787595.557190,322.20,141.10,10.00,,,Consumer Durables,
532830,ASTRAL,A ,Q,1501.55,1519.00,1500.10,1505.60,1505.60,1500.15,6/24/2025 00:00:00,1173,25181,38085056.00,1512.45,33485,77.51,6/25/2025 00:00:00,268634727,122874867.303435,2453.95,1232.00,1.00,,,Capital Goods,
532832,EMBDL,A ,Q,118.85,127.90,118.20,126.90,126.90,118.30,6/24/2025 00:00:00,4525,759162,94551290.00,124.55,406971,37.69,6/25/2025 00:00:00,1320561022,710658593.428278,163.70,89.30,2.00,,,Realty,
532834,CAMLINFINE,T ,Q,312.00,325.35,306.00,323.90,323.90,309.90,6/24/2025 00:00:00,958,72263,22950402.00,317.60,104677,100.00,6/25/2025 00:00:00,187921012,90281764.269088,325.35,95.80,1.00,,,Chemicals,
532835,ICRA,B ,Q,6786.05,6808.50,6712.45,6732.60,6732.60,6685.85,6/24/2025 00:00:00,77,180,1218020.00,6766.78,9768,78.89,6/25/2025 00:00:00,9651231,4613520.047544,7700.00,5085.90,10.00,,,Financial Services,
532839,DISHTV,T ,Q,4.95,4.98,4.95,4.98,4.98,4.97,6/24/2025 00:00:00,188,151364,751153.00,4.96,218935,100.00,6/25/2025 00:00:00,1841253953,1321519517.178784,16.58,4.70,1.00,,,"Media, Entertainment & Publication",
532841,SAHYADRI,B ,Q,311.80,311.80,298.20,306.45,306.45,308.50,6/24/2025 00:00:00,75,1120,338443.00,302.18,536,96.34,6/25/2025 00:00:00,10946300,3057148.341800,449.00,212.00,10.00,,,Construction Materials,
