Scrip Code,COMPANY,ISIN No.,Close Price,IndexName
532648,YES BANK LTD.,INE528G01035,20.19,BSE 100index
542772,360 ONE WAM LIMITED,INE466L01038,1197.65,BSE 150 MidCap Indexindex
523395,3M INDIA LTD.,INE470A01017,28587.9,BSE 150 MidCap Indexindex
500488,ABBOTT INDIA LTD.,INE358A01014,35008.75,BSE 150 MidCap Indexindex
500410,ACC LTD.,INE012A01025,1921.5,BSE 150 MidCap Indexindex
542066,ADANI TOTAL GAS LIMITED,INE399L01023,682.2,BSE 150 MidCap Indexindex
540691,Aditya Birla Capital Ltd,INE674K01013,269.35,BSE 150 MidCap Indexindex
535755,Aditya Birla Fashion and Retai,INE647O01011,74.76,BSE 150 MidCap Indexindex
532683,AIA ENGINEERING LTD.,INE212H01026,3333.2,BSE 150 MidCap Indexindex
532331,AJANTA PHARMA LTD.,INE031B01049,2524.95,BSE 150 MidCap Indexindex
539523,Alkem Laboratories Limited,INE540L01014,4907.3,BSE 150 MidCap Indexindex
533758,APL APOLLO TUBES LTD.,INE702C01027,1754.55,BSE 150 MidCap Indexindex
500877,APOLLO TYRES LTD.,INE438A01022,447.1,BSE 150 MidCap Indexindex
500477,ASHOK LEYLAND LTD.,INE208A01029,249.6,BSE 150 MidCap Indexindex
532830,ASTRAL LIMITED,INE006I01046,1502,BSE 150 MidCap Indexindex
540611,AU Small Finance Bank Limited,INE949L01017,809.95,BSE 150 MidCap Indexindex
524804,AUROBINDO PHARMA LTD.,INE406A01037,1122.9,BSE 150 MidCap Indexindex
543458,AWL AGRI BUSINESS LIMITED,INE699H01024,259.15,BSE 150 MidCap Indexindex
544252,Bajaj Housing Finance Limited,INE377Y01014,122.05,BSE 150 MidCap Indexindex
502355,BALKRISHNA INDUSTRIES LTD.,INE787D01026,2463.75,BSE 150 MidCap Indexindex
541153,Bandhan Bank Limited,INE545U01014,185.55,BSE 150 MidCap Indexindex
532149,BANK OF INDIA,INE084A01016,116.8,BSE 150 MidCap Indexindex
